s11,s12,s13,s14,s15,s16,s17,s18,s21,s22,s23,s24,s25,s26,s27,s28,IngsInRow,IngIn1,IngIn2,ingredientforslider,VegQuestionLoop.thisRepN,VegQuestionLoop.thisTrialN,VegQuestionLoop.thisN,VegQuestionLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Iter.thisRepN,Iter.thisTrialN,Iter.thisN,Iter.thisIndex,BreakConditional.thisRepN,BreakConditional.thisTrialN,BreakConditional.thisN,BreakConditional.thisIndex,RatingLoop.thisRepN,RatingLoop.thisTrialN,RatingLoop.thisN,RatingLoop.thisIndex,TextHeader.started,TextHeader.stopped,InfoSheetTxt.started,InfoSheetTxt.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,MainInstruction.started,MainInstruction.stopped,MainInstruction_2.started,MainInstruction_2.stopped,VegQuestionText.started,VegQuestionText.stopped,VegResp.keys,VegResp.rt,VegResp.started,VegResp.stopped,text.started,text.stopped,ConfirmResp.keys,ConfirmResp.rt,ConfirmResp.started,ConfirmResp.stopped,Decision.keys,Decision.rt,Decision.started,Decision.stopped,Sandwich1.started,Sandwich1.stopped,Or.started,Or.stopped,Sandwich2.started,Sandwich2.stopped,Instr.started,Instr.stopped,Ingredients1.started,Ingredients1.stopped,Ingredients2.started,Ingredients2.stopped,InstructionEndOfTrial.started,InstructionEndOfTrial.stopped,TrialCounter.started,TrialCounter.stopped,BreakText.started,BreakText.stopped,RatingInstrText.started,RatingInstrText.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,SliderDescription.started,SliderDescription.stopped,slider.response,slider.rt,slider.started,slider.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,sequence,participant,date,expName,psychopyVersion,frameRate,
Bacon,Lettuce,Tomatoes,Ranch dressing,None,None,None,None,Chicken,Bacon,Mustard,None,None,None,None,None,4,4,3,,,,,,0,2,2,76,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['a'],[0.11249959999986459],190.68008109999937,None,189.93449250000413,None,189.93449250000413,None,189.93449250000413,None,189.93449250000413,None,189.93449250000413,None,189.93449250000413,None,189.93449250000413,None,189.93449250000413,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Pork,Cucumbers,Pickles,Jalapenos,Basil,Mayonnaise,None,None,Turkey,Cheddar cheese,Bacon,None,None,None,None,None,6,6,3,,,,,,0,3,3,61,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.4751316999900155],191.6798140000028,None,190.9279702000058,None,190.9279702000058,None,190.9279702000058,None,190.9279702000058,None,190.9279702000058,None,190.9279702000058,None,190.9279702000058,None,190.9279702000058,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Pork,Cucumbers,Pickles,Jalapenos,Basil,Mayonnaise,None,None,Turkey,Cheddar cheese,Bacon,None,None,None,None,None,6,6,3,,,,,,0,3,3,61,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.2047619999939343],193.0318016000092,None,192.29211969999596,None,192.29211969999596,None,192.29211969999596,None,192.29211969999596,None,192.29211969999596,None,192.29211969999596,None,192.29211969999596,None,192.29211969999596,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Pork,Cucumbers,Pickles,Jalapenos,Basil,Mayonnaise,None,None,Turkey,Cheddar cheese,Bacon,None,None,None,None,None,6,6,3,,,,,,0,3,3,61,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.12672440000460483],194.12960310000926,None,193.40307640000538,None,193.40307640000538,None,193.40307640000538,None,193.40307640000538,None,193.40307640000538,None,193.40307640000538,None,193.40307640000538,None,193.40307640000538,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Pork,Cucumbers,Pickles,Jalapenos,Basil,Mayonnaise,None,None,Turkey,Cheddar cheese,Bacon,None,None,None,None,None,6,6,3,,,,,,0,3,3,61,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.1989873999991687],195.12960369999928,None,194.39689089999592,None,194.39689089999592,None,194.39689089999592,None,194.39689089999592,None,194.39689089999592,None,194.39689089999592,None,194.39689089999592,None,194.39689089999592,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Meatballs,Provolone cheese,Marinara sauce,Parmesan cheese,None,None,None,None,Turkey,Cheddar cheese,Bacon,None,None,None,None,None,4,4,3,,,,,,0,4,4,23,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.4059743999969214],196.22937169999932,None,195.47871640000085,None,195.47871640000085,None,195.47871640000085,None,195.47871640000085,None,195.47871640000085,None,195.47871640000085,None,195.47871640000085,None,195.47871640000085,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Meatballs,Provolone cheese,Marinara sauce,Parmesan cheese,None,None,None,None,Turkey,Cheddar cheese,Bacon,None,None,None,None,None,4,4,3,,,,,,0,4,4,23,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.11258669999369886],197.52907910000067,None,196.79214350000257,None,196.79214350000257,None,196.79214350000257,None,196.79214350000257,None,196.79214350000257,None,196.79214350000257,None,196.79214350000257,None,196.79214350000257,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Meatballs,Provolone cheese,Marinara sauce,Parmesan cheese,None,None,None,None,Turkey,Cheddar cheese,Bacon,None,None,None,None,None,4,4,3,,,,,,0,4,4,23,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.05579679999209475],198.52919100000872,None,197.79009940000833,None,197.79009940000833,None,197.79009940000833,None,197.79009940000833,None,197.79009940000833,None,197.79009940000833,None,197.79009940000833,None,197.79009940000833,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Meatballs,Provolone cheese,Marinara sauce,Parmesan cheese,None,None,None,None,Turkey,Cheddar cheese,Bacon,None,None,None,None,None,4,4,3,,,,,,0,4,4,23,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.3117861000064295],199.47889410000062,None,198.7450802000094,None,198.7450802000094,None,198.7450802000094,None,198.7450802000094,None,198.7450802000094,None,198.7450802000094,None,198.7450802000094,None,198.7450802000094,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Avocado,Onions,Cucumbers,None,None,None,None,None,Meatballs,Provolone cheese,Marinara sauce,Parmesan cheese,None,None,None,None,4,3,4,,,,,,0,5,5,67,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.010250000006635673],200.66199790000974,None,199.93490229999588,None,199.93490229999588,None,199.93490229999588,None,199.93490229999588,None,199.93490229999588,None,199.93490229999588,None,199.93490229999588,None,199.93490229999588,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Avocado,Onions,Cucumbers,None,None,None,None,None,Meatballs,Provolone cheese,Marinara sauce,Parmesan cheese,None,None,None,None,4,3,4,,,,,,0,5,5,67,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.17697640000551473],201.56202260000282,None,200.8218443000078,None,200.8218443000078,None,200.8218443000078,None,200.8218443000078,None,200.8218443000078,None,200.8218443000078,None,200.8218443000078,None,200.8218443000078,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Avocado,Onions,Cucumbers,None,None,None,None,None,Meatballs,Provolone cheese,Marinara sauce,Parmesan cheese,None,None,None,None,4,3,4,,,,,,0,5,5,67,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.10887159999401774],202.61181420000503,None,201.88222909999604,None,201.88222909999604,None,201.88222909999604,None,201.88222909999604,None,201.88222909999604,None,201.88222909999604,None,201.88222909999604,None,201.88222909999604,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Roast beef,Turkey,Pastrami,Mayonnaise,Provolone cheese,None,None,None,Ham,Swiss cheese,Spinach,Mustard,None,None,None,None,5,5,4,,,,,,0,6,6,55,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.4552842000121018],203.61149429999932,None,202.8638487999997,None,202.8638487999997,None,202.8638487999997,None,202.8638487999997,None,202.8638487999997,None,202.8638487999997,None,202.8638487999997,None,202.8638487999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Roast beef,Turkey,Pastrami,Mayonnaise,Provolone cheese,None,None,None,Ham,Swiss cheese,Spinach,Mustard,None,None,None,None,5,5,4,,,,,,0,6,6,55,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.13223869999637827],204.96157230000244,None,204.21844989999954,None,204.21844989999954,None,204.21844989999954,None,204.21844989999954,None,204.21844989999954,None,204.21844989999954,None,204.21844989999954,None,204.21844989999954,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Roast beef,Turkey,Pastrami,Mayonnaise,Provolone cheese,None,None,None,Ham,Swiss cheese,Spinach,Mustard,None,None,None,None,5,5,4,,,,,,0,6,6,55,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.10293729999102652],205.99472790000436,None,205.26401530001021,None,205.26401530001021,None,205.26401530001021,None,205.26401530001021,None,205.26401530001021,None,205.26401530001021,None,205.26401530001021,None,205.26401530001021,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Meatballs,Provolone cheese,Onions,Marinara sauce,None,None,None,None,Chicken,Pepper jack cheese,Ranch dressing,None,None,None,None,None,4,4,3,,,,,,0,7,7,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.023330999989411794],206.99467390000063,None,206.24722499999916,None,206.24722499999916,None,206.24722499999916,None,206.24722499999916,None,206.24722499999916,None,206.24722499999916,None,206.24722499999916,None,206.24722499999916,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Meatballs,Provolone cheese,Onions,Marinara sauce,None,None,None,None,Chicken,Pepper jack cheese,Ranch dressing,None,None,None,None,None,4,4,3,,,,,,0,7,7,25,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.1411521999980323],207.91113049999694,None,207.1678197000001,None,207.1678197000001,None,207.1678197000001,None,207.1678197000001,None,207.1678197000001,None,207.1678197000001,None,207.1678197000001,None,207.1678197000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Meatballs,Provolone cheese,Onions,Marinara sauce,None,None,None,None,Chicken,Pepper jack cheese,Ranch dressing,None,None,None,None,None,4,4,3,,,,,,0,7,7,25,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['a'],[0.15034589999413583],208.92759490000026,None,208.20010860000912,None,208.20010860000912,None,208.20010860000912,None,208.20010860000912,None,208.20010860000912,None,208.20010860000912,None,208.20010860000912,None,208.20010860000912,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Turkey,Provolone cheese,Pesto,Bell peppers,None,None,None,None,Swiss cheese,Provolone cheese,Bell peppers,Tomatoes,Onions,None,None,None,5,4,5,,,,,,0,8,8,51,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.5522403999930248],209.96094260000973,None,209.2114578000037,None,209.2114578000037,None,209.2114578000037,None,209.2114578000037,None,209.2114578000037,None,209.2114578000037,None,209.2114578000037,None,209.2114578000037,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Turkey,Provolone cheese,Pesto,Bell peppers,None,None,None,None,Swiss cheese,Provolone cheese,Bell peppers,Tomatoes,Onions,None,None,None,5,4,5,,,,,,0,8,8,51,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.3108868999988772],211.4105767000001,None,210.67172520000895,None,210.67172520000895,None,210.67172520000895,None,210.67172520000895,None,210.67172520000895,None,210.67172520000895,None,210.67172520000895,None,210.67172520000895,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Turkey,Provolone cheese,Pesto,Bell peppers,None,None,None,None,Swiss cheese,Provolone cheese,Bell peppers,Tomatoes,Onions,None,None,None,5,4,5,,,,,,0,8,8,51,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.21534019999671727],212.62730790000933,None,211.88826100000006,None,211.88826100000006,None,211.88826100000006,None,211.88826100000006,None,211.88826100000006,None,211.88826100000006,None,211.88826100000006,None,211.88826100000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Steak,Onions,Bell peppers,Provolone cheese,None,None,None,None,Tuna,Lettuce,Tomatoes,Mayonnaise,None,None,None,None,4,4,4,,,,,,0,9,9,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.08352020000165794],213.72710980000556,None,213.01583930000197,None,213.01583930000197,None,213.01583930000197,None,213.01583930000197,None,213.01583930000197,None,213.01583930000197,None,213.01583930000197,None,213.01583930000197,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Steak,Onions,Bell peppers,Provolone cheese,None,None,None,None,Tuna,Lettuce,Tomatoes,Mayonnaise,None,None,None,None,4,4,4,,,,,,0,9,9,24,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.14351470000110567],214.6937833999982,None,213.94691990000138,None,213.94691990000138,None,213.94691990000138,None,213.94691990000138,None,213.94691990000138,None,213.94691990000138,None,213.94691990000138,None,213.94691990000138,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Turkey,Cheddar cheese,Mayonnaise,None,None,None,None,None,Ham,Pork,Swiss cheese,Mustard,Pickles,None,None,None,5,3,5,,,,,,0,10,10,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.13319700000283774],215.7268641999981,None,214.98298430000432,None,214.98298430000432,None,214.98298430000432,None,214.98298430000432,None,214.98298430000432,None,214.98298430000432,None,214.98298430000432,None,214.98298430000432,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Turkey,Cheddar cheese,Mayonnaise,None,None,None,None,None,Ham,Pork,Swiss cheese,Mustard,Pickles,None,None,None,5,3,5,,,,,,0,10,10,12,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.10280629999761004],216.72667699999874,None,215.98966900000232,None,215.98966900000232,None,215.98966900000232,None,215.98966900000232,None,215.98966900000232,None,215.98966900000232,None,215.98966900000232,None,215.98966900000232,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Chicken,Pepper jack cheese,Ranch dressing,None,None,None,None,None,Salami,Provolone cheese,Lettuce,Tomatoes,Mayonnaise,Mustard,None,None,6,3,6,,,,,,0,11,11,65,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.14397550000285264],217.7266648000077,None,216.98416310000175,None,216.98416310000175,None,216.98416310000175,None,216.98416310000175,None,216.98416310000175,None,216.98416310000175,None,216.98416310000175,None,216.98416310000175,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Chicken,Pepper jack cheese,Ranch dressing,None,None,None,None,None,Salami,Provolone cheese,Lettuce,Tomatoes,Mayonnaise,Mustard,None,None,6,3,6,,,,,,0,11,11,65,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.5653429000085453],218.75979630000074,None,218.02193540000007,None,218.02193540000007,None,218.02193540000007,None,218.02193540000007,None,218.02193540000007,None,218.02193540000007,None,218.02193540000007,None,218.02193540000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Pastrami,Swiss cheese,Coleslaw,None,None,None,None,None,Chicken,Cheddar cheese,Bacon,Avocado,Ranch dressing,None,None,None,5,3,5,,,,,,0,12,12,70,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.1068197999993572],220.21081279999635,None,219.45914180000545,None,219.45914180000545,None,219.45914180000545,None,219.45914180000545,None,219.45914180000545,None,219.45914180000545,None,219.45914180000545,None,219.45914180000545,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Pastrami,Swiss cheese,Coleslaw,None,None,None,None,None,Chicken,Cheddar cheese,Bacon,Avocado,Ranch dressing,None,None,None,5,3,5,,,,,,0,12,12,70,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.5970541999995476],221.22638259999803,None,220.48629739999888,None,220.48629739999888,None,220.48629739999888,None,220.48629739999888,None,220.48629739999888,None,220.48629739999888,None,220.48629739999888,None,220.48629739999888,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Chicken,Ham,Cheddar cheese,Mayonnaise,None,None,None,None,Turkey,Garlic aioli,Bacon,Spinach,None,None,None,None,4,4,4,,,,,,0,13,13,59,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.17364930000621825],222.7091519999958,None,221.96264019999944,None,221.96264019999944,None,221.96264019999944,None,221.96264019999944,None,221.96264019999944,None,221.96264019999944,None,221.96264019999944,None,221.96264019999944,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Turkey,Garlic aioli,Bacon,Spinach,None,None,None,None,Chicken,Mayonnaise,Cheddar cheese,None,None,None,None,None,4,4,3,,,,,,0,14,14,29,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.4944301999930758],223.80919110000832,None,223.06820799999696,None,223.06820799999696,None,223.06820799999696,None,223.06820799999696,None,223.06820799999696,None,223.06820799999696,None,223.06820799999696,None,223.06820799999696,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Bacon,Turkey,Pepper jack cheese,Mustard,None,None,None,None,Bacon,Spinach,Tomatoes,Avocado,Mayonnaise,None,None,None,5,4,5,,,,,,0,15,15,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.15397280000615865],225.19194840001,None,224.44335420000425,None,224.44335420000425,None,224.44335420000425,None,224.44335420000425,None,224.44335420000425,None,224.44335420000425,None,224.44335420000425,None,224.44335420000425,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
