"s11","s12","s13","s14","s15","s16","s17","s18","s21","s22","s23","s24","s25","s26","s27","s28","IngsInRow","IngIn1","IngIn2"
"Vegan turkey","Provolone cheese","Vinaigrette","Coleslaw","Mayonnaise","","","","Vegan bacon","Tomatoes","Lettuce","Mayonnaise","","","","",5,5,4
"Cucumbers","Tomatoes","Peppers","Onions","Mixed greens","Carrots","Sprouts","Avocado","Provolone cheese","Tomatoes","Pesto","Cheddar cheese","","","","",8,8,4
"Cheddar cheese","Provolone cheese","Swiss cheese","Mushrooms","Mayonnaise","Lettuce","Tomatoes","","Olives","Tomatoes","Spinach","Feta cheese","Provolone cheese","Vinaigrette","","",7,7,6
"Black bean patty","American cheese","Cheddar cheese","Lettuce","Tomatoes","","","","Avocado","Tomatoes","Mayonnaise","Mixed greens","Lettuce","Onions","Vinaigrette","",7,5,7
"Swiss cheese","Hummus","Peppers","Mixed greens","Onions","Tomatoes","Pickles","Olives","Hummus","Avocado","Tomatoes","Arugula","Mayonnaise","","","",8,8,5
"Falafel","Hummus","Garlic aioli","Cucumbers","Basil","Tomatoes","","","Hummus","Cucumbers","Tomatoes","Onions","Spinach","Peppers","Sprouts","",7,6,7
"Soy chicken","Lettuce","Tomatoes","Onions","Guacamole","Mayonnaise","","","Egg salad","Tomatoes","Onions","Arugula","Garlic aioli","","","",6,6,5
"Avocado","Tomatoes","Lettuce","Sprouts","Guacamole","Vinaigrette","","","Provolone cheese","Avocado","Cucumbers","Lettuce","Tomatoes","Onions","Sprouts","Mayonnaise",8,6,8
"Peppers","Provolone cheese","Cucumbers","Mixed greens","Tomatoes","Onions","Hummus","","Pesto","Tomatoes","Provolone cheese","","","","","",7,7,3
"Black bean patty","Pepper jack cheese","Lettuce","Tomatoes","Onions","Avocado","Mustard","","Avocado","Spinach","Tomatoes","Swiss cheese","","","","",7,7,4
"Pepper jack cheese","Spinach","Tomatoes","Garlic aioli","","","","","Sprouts","Avocado","Onions","Tomatoes","Cucumbers","Spinach","Garlic aioli","",7,4,7
"Cheddar cheese","Swiss cheese","Pepper jack cheese","Avocado","Mayonnaise","Sprouts","Tomatoes","","Egg salad","Feta cheese","Spinach","Tomatoes","","","","",7,7,4
"Soy chicken","Pesto","Mixed greens","Tomatoes","Onions","","","","Avocado","Vegan bacon","Garlic aioli","Lettuce","Tomatoes","Onions","","",6,5,6
"Tomatoes","Mozzarella cheese","Pesto","Vinaigrette","Spinach","","","","Avocado","Cucumbers","Sprouts","Lettuce","Tomatoes","Onions","Pesto","",7,5,7
"Jalapenos","Cucumbers","Sprouts","Mixed greens","Coleslaw","","","","Avocado","Pepper jack cheese","Sprouts","Spinach","Cucumbers","Onions","Mayonnaise","Tomatoes",8,5,8
"Cheddar cheese","Cream cheese","Pickles","Jalapenos","","","","","Guacamole","Hummus","Feta cheese","Mixed greens","Onions","Tomatoes","Pickles","Mushrooms",8,4,8
"Soy chicken","Pepper jack cheese","Tomatoes","Lettuce","Onions","Garlic aioli","","","Mushrooms","Swiss cheese","Provolone cheese","Cheddar cheese","Lettuce","Tomatoes","","",6,6,6
"Tomatoes","Mozzarella cheese","Spinach","Pesto","","","","","Avocado","Onions","Cucumbers","Spinach","Cheddar cheese","","","",5,4,5
"Vegan turkey","Onions","Lettuce","Pickles","Mustard","Mayonnaise","","","Soy chicken","Garlic aioli","Pickles","Cucumbers","Jalapenos","Basil","","",6,6,6
"Soy chicken","Pickles","Jalapenos","Basil","","","","","Onions","Peppers","Mushrooms","Jalapenos","American cheese","","","",5,4,5
"Cheddar cheese","Avocado","Cucumbers","Lettuce","Mustard","Sprouts","","","American cheese","Cheddar cheese","Swiss cheese","Onions","Mustard","","","",6,6,5
"Black bean patty","Tomatoes","Cheddar cheese","Onions","Pickles","Lettuce","","","Black bean patty","Onions","Peppers","Provolone cheese","","","","",6,6,4
"Vegan turkey","Provolone cheese","Vinaigrette","Coleslaw","Mayonnaise","","","","Provolone cheese","Swiss cheese","Cheddar cheese","Parmesan cheese","Tomatoes","Mustard","","",6,5,6
